,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,time,LAT,LON,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource,Unnamed: 22,Unnamed: 23,Easting,Northing
18,18,18,18,18,18,18,2021-11-04T01:57:24.490Z,46.855,-121.7588333,1.91,0.6,ml,12.0,94.0,0.02378,0.05,uw,uw61786027,2021-11-06T00:15:33.910Z,"23 km ENE of Ashford, Washington",earthquake,0.25,0.52,0.22391497,6,reviewed,uw,uw,,,594614.9218957777,5189798.764618126
19,19,19,19,19,19,19,2021-11-04T00:47:05.372Z,39.2676,-120.1065,9.0,0.5,ml,7.0,102.86,0.06,0.0814,nn,nn00827424,2021-11-05T02:37:44.100Z,"4 km NNW of Carnelian Bay, California",earthquake,,1.7,0.42,3,reviewed,nn,nn,,,749628.0361065461,4350464.602161596
20,20,20,20,20,20,20,2021-11-04T00:46:20.110Z,46.20766667,-122.1788333,3.94,0.5,ml,11.0,174.0,0.008084,0.1,uw,uw61785997,2021-11-06T03:51:56.130Z,"39 km NNE of Amboy, Washington",earthquake,0.32,0.51,0.178605193,4,reviewed,uw,uw,,,563346.4534421397,5117448.7951897485
21,21,21,21,21,21,21,2021-11-04T00:24:34.080Z,39.8938333,-123.4245,7.43,4.08,mw,40.0,60.0,0.03744,0.18,nc,nc73648540,2022-01-14T17:58:58.040Z,"19km NW of Covelo, CA",earthquake,0.21,0.36,,3,reviewed,nc,nc,,,463708.69331990107,4416060.087805985
22,22,22,22,22,22,22,2021-11-03T23:21:42.970Z,45.79283333,-122.5075,-0.92,1.52,md,6.0,315.0,0.1527,0.03,uw,uw61785987,2021-11-06T03:43:29.080Z,"2 km SSE of Lewisville, Washington",explosion,1.24,31.61,0.379209508,3,reviewed,uw,uw,,,538277.4749688723,5071148.20068384
23,23,23,23,23,23,23,2021-11-03T21:35:44.980Z,47.73633333,-120.0246667,3.49,1.02,ml,9.0,66.0,0.06028,0.11,uw,uw61785952,2021-11-06T03:32:17.370Z,"7 km SSW of Chelan Falls, Washington",earthquake,0.26,0.81,0.265404853,4,reviewed,uw,uw,,,723065.5737515003,5291283.575931866
24,24,24,24,24,24,24,2021-11-03T19:58:14.080Z,46.972,-122.2078333,-0.53,1.4,ml,13.0,110.0,0.01666,0.19,uw,uw61785942,2021-11-06T00:22:00.570Z,"2 km SE of Kapowsin, Washington",explosion,0.57,31.61,0.26725736,4,reviewed,uw,uw,,,560256.2557785388,5202357.094550713
25,25,25,25,25,25,25,2021-11-03T18:09:28.562Z,39.5706,-119.6709,5.0,0.8,ml,12.0,116.04,0.06,0.1256,nn,nn00827443,2021-11-05T00:12:08.458Z,"8 km ENE of Sparks, Nevada",earthquake,,2.9,0.33,7,reviewed,nn,nn,,,785973.5644119529,4385395.550714069
26,26,26,26,26,26,26,2021-11-03T17:38:18.960Z,47.57366667,-121.3793333,8.79,1.3,ml,22.0,59.0,0.1363,0.2,uw,uw61785932,2021-11-03T20:08:56.670Z,"15 km S of Skykomish, Washington",earthquake,0.34,0.7,0.19831897,8,reviewed,uw,uw,,,621885.691444795,5270189.411713736
27,27,27,27,27,27,27,2021-11-03T16:50:49.647Z,40.0996,-119.6887,16.3,0.9,ml,5.0,174.22,0.078,0.1628,nn,nn00827441,2021-11-04T23:50:29.308Z,"18 km NNW of Sutcliffe, Nevada",earthquake,,2.6,0.31,4,reviewed,nn,nn,,,782267.520200232,4444068.925868952
28,28,28,28,28,28,28,2021-11-03T15:53:53.430Z,44.924,-123.3866667,-0.12,1.89,ml,13.0,83.0,0.06595,0.37,uw,uw61785902,2021-11-03T19:45:30.240Z,"5 km W of Dallas, Oregon",explosion,0.75,31.61,0.118400151,6,reviewed,uw,uw,,,469484.4873003812,4974580.533673776
29,29,29,29,29,29,29,2021-11-03T14:18:30.390Z,46.85416667,-121.755,1.33,0.41,ml,14.0,75.0,0.02281,0.08,uw,uw61785887,2021-11-03T19:31:51.980Z,"23 km ENE of Ashford, Washington",earthquake,0.24,0.41,0.208312131,7,reviewed,uw,uw,,,594908.6022146156,5189710.789834478
30,30,30,30,30,30,30,2021-11-03T13:37:07.083Z,41.5428,-118.7682,14.1,3.0,ml,8.0,98.84,0.897,0.1848,nn,nn00827440,2022-01-14T17:58:57.040Z,"50 km SSW of Denio, Nevada",earthquake,,7.5,0.42,7,reviewed,nn,nn,,,853004.1804415687,4607669.625375001
31,31,31,31,31,31,31,2021-11-03T13:25:40.710Z,46.20783333,-122.1795,2.61,0.62,ml,10.0,171.0,0.008698,0.07,uw,uw61785877,2021-11-03T19:23:54.880Z,"39 km NNE of Amboy, Washington",earthquake,0.38,0.59,0.204237115,4,reviewed,uw,uw,,,563294.8315691106,5117466.780956211
32,32,32,32,32,32,32,2021-11-03T11:41:28.280Z,46.72066667,-121.9051667,5.37,0.92,ml,16.0,215.0,0.03425,0.13,uw,uw61785867,2021-11-03T19:09:01.120Z,"10 km ESE of Ashford, Washington",earthquake,0.53,0.62,0.285972143,4,reviewed,uw,uw,,,583667.8385679682,5174705.5712212995
33,33,33,33,33,33,33,2021-11-03T11:25:23.140Z,46.85333333,-121.7586667,1.62,0.78,ml,11.0,102.0,0.02366,0.06,uw,uw61785862,2021-11-03T18:55:33.860Z,"23 km ENE of Ashford, Washington",earthquake,0.25,0.47,0.200582578,7,reviewed,uw,uw,,,594630.5498347919,5189613.761891105
34,34,34,34,34,34,34,2021-11-03T11:10:49.490Z,46.688,-120.9966667,0.07,0.99,ml,10.0,130.0,0.1265,0.12,uw,uw61785857,2021-11-03T18:45:14.400Z,"15 km SSW of Nile, Washington",earthquake,0.58,12.56,0.134817072,6,reviewed,uw,uw,,,653187.094922369,5172442.663886631
35,35,35,35,35,35,35,2021-11-03T10:38:42.970Z,42.25133333,-124.2995,-0.61,1.63,ml,9.0,174.0,0.06707,0.41,uw,uw61785852,2021-11-03T18:39:36.970Z,"8 km ESE of Pistol River, Oregon",earthquake,1.12,0.81,0.063122486,4,reviewed,uw,uw,,,392802.13949203974,4678499.549633099
36,36,36,36,36,36,36,2021-11-03T09:45:16.150Z,47.4155,-122.0528333,25.85,1.27,ml,23.0,65.0,0.05985,0.16,uw,uw61785847,2021-11-03T18:34:15.580Z,"2 km N of Maple Valley, Washington",earthquake,0.4,0.64,0.085597245,8,reviewed,uw,uw,,,571448.4831428751,5251773.640230547
37,37,37,37,37,37,37,2021-11-03T07:27:06.320Z,41.1221667,-122.0523333,8.19,1.86,md,18.0,58.0,0.04386,0.09,nc,nc73648175,2021-11-03T16:48:11.893Z,"16km SSE of McCloud, CA",earthquake,0.32,0.62,0.1,17,reviewed,nc,nc,,,579553.3759951018,4552751.570610082
38,38,38,38,38,38,38,2021-11-03T07:03:37.959Z,40.081,-119.6695,13.6,0.2,ml,3.0,177.64,0.101,0.0173,nn,nn00827437,2021-11-04T23:06:54.243Z,"15 km NNW of Sutcliffe, Nevada",earthquake,,6.1,0.0,1,reviewed,nn,nn,,,783981.9064389735,4442065.058907708
39,39,39,39,39,39,39,2021-11-03T05:58:01.000Z,40.3693333,-124.3033333,29.0,2.41,md,21.0,146.0,0.0495,0.13,nc,nc73648160,2021-11-10T20:43:11.853Z,"5km NNW of Petrolia, CA",earthquake,0.71,0.82,0.069,12,reviewed,nc,nc,,,389348.0036159609,4469566.15270766
40,40,40,40,40,40,40,2021-11-03T05:40:24.490Z,40.329,-121.218,9.46,2.08,md,18.0,88.0,0.09838,0.22,nc,nc73648145,2021-11-04T02:37:00.034Z,"3km NNE of Chester, CA",earthquake,0.58,1.4,0.251,19,reviewed,nc,nc,,,651382.4664949218,4465797.845123508
41,41,41,41,41,41,41,2021-11-03T05:10:23.510Z,40.3636667,-124.2556667,28.27,1.73,md,13.0,109.0,0.04705,0.09,nc,nc73648140,2021-11-10T19:39:12.648Z,"5km NNE of Petrolia, CA",earthquake,0.78,0.57,0.109,8,reviewed,nc,nc,,,393386.03944872716,4468878.604305075
42,42,42,42,42,42,42,2021-11-03T04:59:55.530Z,40.3055,-123.5985,26.82,2.0,md,23.0,60.0,0.1333,0.19,nc,nc73648130,2021-11-10T13:03:13.639Z,"28km NE of Redway, CA",earthquake,0.48,0.8,0.135,16,reviewed,nc,nc,,,449140.46478240285,4461837.459863193
43,43,43,43,43,43,43,2021-11-03T04:55:50.550Z,40.3555,-124.2805,28.39,2.54,md,21.0,125.0,0.03362,0.11,nc,nc73648125,2022-01-14T17:59:08.040Z,"3km N of Petrolia, CA",earthquake,0.46,0.54,0.338,26,reviewed,nc,nc,,,391264.35808549356,4468002.315327522
44,44,44,44,44,44,44,2021-11-03T04:49:50.726Z,40.0555,-119.6869,10.1,1.4,ml,15.0,137.97,0.12,0.19,nn,nn00827393,2021-11-04T02:37:33.664Z,"13 km NNW of Sutcliffe, Nevada",earthquake,,1.4,0.21,9,reviewed,nn,nn,,,782603.4707247815,4439178.500091874
45,45,45,45,45,45,45,2021-11-03T04:48:49.495Z,40.0653,-119.6817,14.3,1.5,ml,13.0,141.8,0.112,0.1944,nn,nn00827392,2021-11-04T02:37:32.117Z,"14 km NNW of Sutcliffe, Nevada",earthquake,,1.3,0.26,10,reviewed,nn,nn,,,783006.5093720473,4440283.071685615
46,46,46,46,46,46,46,2021-11-03T04:23:46.860Z,48.62983333,-123.056,14.32,1.67,ml,21.0,94.0,0.04992,0.17,uw,uw61785842,2021-11-03T18:16:00.330Z,"8 km WNW of Orcas, Washington",earthquake,0.35,0.51,0.101336545,4,reviewed,uw,uw,,,495873.75142458495,5386308.950130402
