,MMSI,FileName
117,367171000,Slx_South_20211102124924_30_2_200.mat
118,367171000,Slx_South_20211102124939_30_2_200.mat
119,367709050,Slx_South_20211102072839_30_2_200.mat
120,367709050,Slx_South_20211102072854_30_2_200.mat
121,367709050,Slx_South_20211102072909_30_2_200.mat
122,367709050,Slx_South_20211102072924_30_2_200.mat
123,367709050,Slx_South_20211102072939_30_2_200.mat
124,367709050,Slx_South_20211102072954_30_2_200.mat
125,367709050,Slx_South_20211102073009_30_2_200.mat
126,367709050,Slx_South_20211102073024_30_2_200.mat
127,367709050,Slx_South_20211102073039_30_2_200.mat
128,368038000,Slx_South_20211104051643_10_1_200.mat
129,368038000,Slx_South_20211104051658_10_1_200.mat
130,368038000,Slx_South_20211104051713_10_1_200.mat
131,368038000,Slx_South_20211104051728_10_1_200.mat
132,368038000,Slx_South_20211104051743_10_1_200.mat
133,368038000,Slx_South_20211104051758_10_1_200.mat
134,368038000,Slx_South_20211104051813_10_1_200.mat
135,368038000,Slx_South_20211104051828_10_1_200.mat
136,368038000,Slx_South_20211104051843_10_1_200.mat
137,368206000,Slx_South_20211103043924_30_2_200.mat
138,368206000,Slx_South_20211103043939_30_2_200.mat
139,368206000,Slx_South_20211103043954_30_2_200.mat
140,368206000,Slx_South_20211103044009_30_2_200.mat
141,368206000,Slx_South_20211103044024_30_2_200.mat
142,368206000,Slx_South_20211103044039_30_2_200.mat
143,368206000,Slx_South_20211103044054_30_2_200.mat
144,368206000,Slx_South_20211103044109_30_2_200.mat
145,368206000,Slx_South_20211103044124_30_2_200.mat
146,368293000,Slx_South_20211103092054_30_2_200.mat
147,368293000,Slx_South_20211103092109_30_2_200.mat
148,368293000,Slx_South_20211103092124_30_2_200.mat
149,368293000,Slx_South_20211103092139_30_2_200.mat
150,368293000,Slx_South_20211103092154_30_2_200.mat
151,368293000,Slx_South_20211103092209_30_2_200.mat
152,368293000,Slx_South_20211103092224_30_2_200.mat
153,368293000,Slx_South_20211103092239_30_2_200.mat
154,368293000,Slx_South_20211103092254_30_2_200.mat
155,369499000,Slx_South_20211102025954_30_2_200.mat
156,369499000,Slx_South_20211102030009_30_2_200.mat
157,369499000,Slx_South_20211102030024_30_2_200.mat
158,369499000,Slx_South_20211102030039_30_2_200.mat
159,369499000,Slx_South_20211102030054_30_2_200.mat
160,369499000,Slx_South_20211102030109_30_2_200.mat
161,369499000,Slx_South_20211102030124_30_2_200.mat
162,369499000,Slx_South_20211102030139_30_2_200.mat
163,369499000,Slx_South_20211102030154_30_2_200.mat
164,477852900,Slx_South_20211101220154_30_2_200.mat
165,477852900,Slx_South_20211101220209_30_2_200.mat
166,477852900,Slx_South_20211101220224_30_2_200.mat
167,477852900,Slx_South_20211101220239_30_2_200.mat
168,477852900,Slx_South_20211101220254_30_2_200.mat
169,477852900,Slx_South_20211101220309_30_2_200.mat
170,477852900,Slx_South_20211101220324_30_2_200.mat
171,477852900,Slx_South_20211101220339_30_2_200.mat
172,477852900,Slx_South_20211101220354_30_2_200.mat
173,538007681,Slx_South_20211102073424_30_2_200.mat
174,538007681,Slx_South_20211102073439_30_2_200.mat
175,538007681,Slx_South_20211102073454_30_2_200.mat
