"Date","Time (GMT)","Predicted (ft)","Preliminary (ft)","Verified (ft)"
"2021/11/03","06:24","7.457","-","7.82"
"2021/11/03","06:30","7.508","-","7.87"
"2021/11/03","06:36","7.55","-","7.96"
"2021/11/03","06:42","7.584","-","8.03"
"2021/11/03","06:48","7.608","-","8.08"
"2021/11/03","06:54","7.624","-","8.1"
"2021/11/03","07:00","7.63","-","8.13"
"2021/11/03","07:06","7.628","-","8.15"
"2021/11/03","07:12","7.615","-","8.15"
"2021/11/03","07:18","7.594","-","8.17"
"2021/11/03","07:24","7.564","-","8.14"
"2021/11/03","07:30","7.524","-","8.12"
"2021/11/03","07:36","7.475","-","8.06"
"2021/11/03","07:42","7.418","-","8.04"
"2021/11/03","07:48","7.352","-","7.94"
"2021/11/03","07:54","7.277","-","7.84"
"2021/11/03","08:00","7.195","-","7.76"
"2021/11/03","08:06","7.104","-","7.67"
"2021/11/03","08:12","7.006","-","7.58"
"2021/11/03","08:18","6.901","-","7.47"
"2021/11/03","08:24","6.789","-","7.36"
"2021/11/03","08:30","6.671","-","7.25"
"2021/11/03","08:36","6.547","-","7.12"
"2021/11/03","08:42","6.417","-","6.97"
"2021/11/03","08:48","6.282","-","6.87"
"2021/11/03","08:54","6.143","-","6.74"
"2021/11/03","09:00","5.998","-","6.58"
"2021/11/03","09:06","5.85","-","6.42"
"2021/11/03","09:12","5.699","-","6.29"
"2021/11/03","09:18","5.544","-","6.12"
"2021/11/03","09:24","5.386","-","5.97"
"2021/11/03","09:30","5.226","-","5.83"
"2021/11/03","09:36","5.064","-","5.67"
"2021/11/03","09:42","4.899","-","5.52"
"2021/11/03","09:48","4.734","-","5.36"
"2021/11/03","09:54","4.567","-","5.21"
"2021/11/03","10:00","4.4","-","5.04"
"2021/11/03","10:06","4.232","-","4.89"
"2021/11/03","10:12","4.064","-","4.7"
"2021/11/03","10:18","3.896","-","4.55"
"2021/11/03","10:24","3.729","-","4.36"
"2021/11/03","10:30","3.562","-","4.24"
"2021/11/03","10:36","3.397","-","4.09"
"2021/11/03","10:42","3.235","-","3.94"
"2021/11/03","10:48","3.074","-","3.78"
"2021/11/03","10:54","2.916","-","3.56"
"2021/11/03","11:00","2.761","-","3.42"
"2021/11/03","11:06","2.61","-","3.28"
"2021/11/03","11:12","2.464","-","3.14"
"2021/11/03","11:18","2.322","-","3.02"
"2021/11/03","11:24","2.186","-","2.88"
"2021/11/03","11:30","2.056","-","2.77"
"2021/11/03","11:36","1.933","-","2.62"
"2021/11/03","11:42","1.817","-","2.5"
"2021/11/03","11:48","1.709","-","2.42"
"2021/11/03","11:54","1.609","-","2.27"
"2021/11/03","12:00","1.518","-","2.17"
"2021/11/03","12:06","1.436","-","2.09"
"2021/11/03","12:12","1.365","-","1.96"
"2021/11/03","12:18","1.304","-","1.89"
"2021/11/03","12:24","1.253","-","1.82"
"2021/11/03","12:30","1.214","-","1.79"
"2021/11/03","12:36","1.185","-","1.76"
"2021/11/03","12:42","1.169","-","1.73"
"2021/11/03","12:48","1.163","-","1.67"
"2021/11/03","12:54","1.17","-","1.67"
"2021/11/03","13:00","1.188","-","1.68"
"2021/11/03","13:06","1.217","-","1.69"
"2021/11/03","13:12","1.258","-","1.76"
"2021/11/03","13:18","1.31","-","1.82"
"2021/11/03","13:24","1.373","-","1.86"
"2021/11/03","13:30","1.447","-","1.92"
"2021/11/03","13:36","1.53","-","1.96"
"2021/11/03","13:42","1.623","-","2.03"
"2021/11/03","13:48","1.725","-","2.11"
"2021/11/03","13:54","1.836","-","2.22"
"2021/11/03","14:00","1.955","-","2.29"
"2021/11/03","14:06","2.082","-","2.43"
"2021/11/03","14:12","2.215","-","2.57"
"2021/11/03","14:18","2.355","-","2.7"
"2021/11/03","14:24","2.501","-","2.82"
"2021/11/03","14:30","2.652","-","2.96"
"2021/11/03","14:36","2.808","-","3.1"
"2021/11/03","14:42","2.969","-","3.3"
"2021/11/03","14:48","3.133","-","3.49"
"2021/11/03","14:54","3.3","-","3.64"
"2021/11/03","15:00","3.47","-","3.82"
"2021/11/03","15:06","3.643","-","3.96"
"2021/11/03","15:12","3.817","-","4.16"
"2021/11/03","15:18","3.994","-","4.29"
"2021/11/03","15:24","4.171","-","4.46"
"2021/11/03","15:30","4.349","-","4.64"
"2021/11/03","15:36","4.528","-","4.85"
"2021/11/03","15:42","4.707","-","4.96"
"2021/11/03","15:48","4.886","-","5.15"
"2021/11/03","15:54","5.065","-","5.3"
"2021/11/03","16:00","5.243","-","5.46"
"2021/11/03","16:06","5.421","-","5.61"
"2021/11/03","16:12","5.597","-","5.78"
"2021/11/03","16:18","5.772","-","5.97"
"2021/11/03","16:24","5.946","-","6.12"
"2021/11/03","16:30","6.117","-","6.28"
"2021/11/03","16:36","6.287","-","6.47"
"2021/11/03","16:42","6.454","-","6.66"
"2021/11/03","16:48","6.619","-","6.81"
"2021/11/03","16:54","6.78","-","6.96"
"2021/11/03","17:00","6.939","-","7.1"
"2021/11/03","17:06","7.094","-","7.27"
"2021/11/03","17:12","7.245","-","7.46"
"2021/11/03","17:18","7.392","-","7.59"
"2021/11/03","17:24","7.535","-","7.74"
"2021/11/03","17:30","7.673","-","7.86"
"2021/11/03","17:36","7.806","-","8.01"
"2021/11/03","17:42","7.933","-","8.17"
"2021/11/03","17:48","8.055","-","8.33"
"2021/11/03","17:54","8.17","-","8.46"
"2021/11/03","18:00","8.279","-","8.56"
"2021/11/03","18:06","8.381","-","8.72"
"2021/11/03","18:12","8.476","-","8.86"
"2021/11/03","18:18","8.564","-","9"
"2021/11/03","18:24","8.644","-","9.07"
"2021/11/03","18:30","8.715","-","9.19"
"2021/11/03","18:36","8.779","-","9.24"
"2021/11/03","18:42","8.833","-","9.31"
"2021/11/03","18:48","8.878","-","9.43"
"2021/11/03","18:54","8.914","-","9.45"
"2021/11/03","19:00","8.941","-","9.54"
"2021/11/03","19:06","8.957","-","9.56"
"2021/11/03","19:12","8.964","-","9.59"
"2021/11/03","19:18","8.96","-","9.58"
"2021/11/03","19:24","8.946","-","9.58"
"2021/11/03","19:30","8.922","-","9.6"
"2021/11/03","19:36","8.887","-","9.56"
"2021/11/03","19:42","8.842","-","9.52"
"2021/11/03","19:48","8.787","-","9.45"
"2021/11/03","19:54","8.721","-","9.35"
"2021/11/03","20:00","8.644","-","9.29"
"2021/11/03","20:06","8.558","-","9.23"
"2021/11/03","20:12","8.462","-","9.11"
"2021/11/03","20:18","8.356","-","9.04"
"2021/11/03","20:24","8.24","-","8.86"
"2021/11/03","20:30","8.115","-","8.78"
"2021/11/03","20:36","7.982","-","8.65"
"2021/11/03","20:42","7.84","-","8.52"
"2021/11/03","20:48","7.689","-","8.4"
"2021/11/03","20:54","7.531","-","8.26"
"2021/11/03","21:00","7.366","-","8.14"
"2021/11/03","21:06","7.194","-","7.95"
"2021/11/03","21:12","7.015","-","7.76"
"2021/11/03","21:18","6.83","-","7.61"
"2021/11/03","21:24","6.639","-","7.46"
"2021/11/03","21:30","6.443","-","7.26"
"2021/11/03","21:36","6.242","-","7.07"
"2021/11/03","21:42","6.037","-","6.91"
"2021/11/03","21:48","5.828","-","6.68"
"2021/11/03","21:54","5.616","-","6.46"
"2021/11/03","22:00","5.4","-","6.3"
"2021/11/03","22:06","5.182","-","6.1"
"2021/11/03","22:12","4.961","-","5.91"
"2021/11/03","22:18","4.738","-","5.69"
"2021/11/03","22:24","4.514","-","5.52"
"2021/11/03","22:30","4.288","-","5.33"
"2021/11/03","22:36","4.062","-","5.08"
"2021/11/03","22:42","3.836","-","4.9"
"2021/11/03","22:48","3.61","-","4.7"
"2021/11/03","22:54","3.385","-","4.51"
"2021/11/03","23:00","3.16","-","4.29"
"2021/11/03","23:06","2.938","-","4.08"
"2021/11/03","23:12","2.717","-","3.86"
"2021/11/03","23:18","2.5","-","3.66"
"2021/11/03","23:24","2.286","-","3.45"
"2021/11/03","23:30","2.076","-","3.25"
"2021/11/03","23:36","1.87","-","3.04"
"2021/11/03","23:42","1.67","-","2.82"
"2021/11/03","23:48","1.476","-","2.66"
"2021/11/03","23:54","1.289","-","2.47"
"2021/11/04","00:00","1.109","-","2.26"
"2021/11/04","00:06","0.937","-","2.08"
"2021/11/04","00:12","0.773","-","1.91"
"2021/11/04","00:18","0.619","-","1.72"
"2021/11/04","00:24","0.475","-","1.57"
"2021/11/04","00:30","0.342","-","1.43"
"2021/11/04","00:36","0.219","-","1.3"
"2021/11/04","00:42","0.109","-","1.16"
"2021/11/04","00:48","0.01","-","1.08"
"2021/11/04","00:54","-0.076","-","0.99"
"2021/11/04","01:00","-0.15","-","0.86"
"2021/11/04","01:06","-0.21","-","0.74"
"2021/11/04","01:12","-0.257","-","0.7"
"2021/11/04","01:18","-0.291","-","0.64"
"2021/11/04","01:24","-0.312","-","0.56"
"2021/11/04","01:30","-0.319","-","0.53"
"2021/11/04","01:36","-0.314","-","0.55"
"2021/11/04","01:42","-0.295","-","0.58"
"2021/11/04","01:48","-0.264","-","0.59"
"2021/11/04","01:54","-0.22","-","0.61"
"2021/11/04","02:00","-0.164","-","0.69"
"2021/11/04","02:06","-0.097","-","0.71"
"2021/11/04","02:12","-0.018","-","0.74"
"2021/11/04","02:18","0.07","-","0.79"
"2021/11/04","02:24","0.169","-","0.92"
"2021/11/04","02:30","0.278","-","1.03"
"2021/11/04","02:36","0.395","-","1.16"
"2021/11/04","02:42","0.52","-","1.29"
"2021/11/04","02:48","0.653","-","1.42"
"2021/11/04","02:54","0.794","-","1.6"
"2021/11/04","03:00","0.941","-","1.7"
"2021/11/04","03:06","1.093","-","1.88"
"2021/11/04","03:12","1.251","-","2.01"
"2021/11/04","03:18","1.414","-","2.13"
"2021/11/04","03:24","1.582","-","2.29"
"2021/11/04","03:30","1.753","-","2.47"
"2021/11/04","03:36","1.928","-","2.67"
"2021/11/04","03:42","2.106","-","2.81"
"2021/11/04","03:48","2.286","-","3.03"
"2021/11/04","03:54","2.468","-","3.21"
"2021/11/04","04:00","2.653","-","3.35"
"2021/11/04","04:06","2.838","-","3.51"
"2021/11/04","04:12","3.025","-","3.67"
"2021/11/04","04:18","3.213","-","3.86"
"2021/11/04","04:24","3.402","-","4.05"
"2021/11/04","04:30","3.59","-","4.26"
"2021/11/04","04:36","3.778","-","4.43"
"2021/11/04","04:42","3.966","-","4.55"
"2021/11/04","04:48","4.154","-","4.75"
"2021/11/04","04:54","4.34","-","4.96"
"2021/11/04","05:00","4.525","-","5.15"
"2021/11/04","05:06","4.709","-","5.3"
"2021/11/04","05:12","4.89","-","5.49"
"2021/11/04","05:18","5.07","-","5.61"
"2021/11/04","05:24","5.247","-","5.8"
"2021/11/04","05:30","5.421","-","5.96"
"2021/11/04","05:36","5.592","-","6.11"
"2021/11/04","05:42","5.76","-","6.3"
"2021/11/04","05:48","5.923","-","6.49"
"2021/11/04","05:54","6.083","-","6.66"
"2021/11/04","06:00","6.238","-","6.76"
"2021/11/04","06:06","6.388","-","6.89"
"2021/11/04","06:12","6.533","-","7"
"2021/11/04","06:18","6.673","-","7.13"
"2021/11/04","06:24","6.806","-","7.3"
"2021/11/04","06:30","6.933","-","7.48"
"2021/11/04","06:36","7.054","-","7.58"
"2021/11/04","06:42","7.168","-","7.76"
"2021/11/04","06:48","7.274","-","7.92"
"2021/11/04","06:54","7.373","-","7.99"
"2021/11/04","07:00","7.463","-","8.11"
"2021/11/04","07:06","7.546","-","8.27"
"2021/11/04","07:12","7.619","-","8.32"
"2021/11/04","07:18","7.684","-","8.41"
"2021/11/04","07:24","7.74","-","8.47"
"2021/11/04","07:30","7.787","-","8.54"
"2021/11/04","07:36","7.824","-","8.64"
"2021/11/04","07:42","7.851","-","8.7"
"2021/11/04","07:48","7.869","-","8.83"
"2021/11/04","07:54","7.877","-","8.86"
"2021/11/04","08:00","7.875","-","8.91"
"2021/11/04","08:06","7.863","-","8.96"
"2021/11/04","08:12","7.841","-","8.95"
"2021/11/04","08:18","7.809","-","8.94"
"2021/11/04","08:24","7.768","-","8.79"
"2021/11/04","08:30","7.717","-","8.76"
"2021/11/04","08:36","7.656","-","8.66"
"2021/11/04","08:42","7.587","-","8.62"
"2021/11/04","08:48","7.508","-","8.53"
"2021/11/04","08:54","7.421","-","8.43"
"2021/11/04","09:00","7.326","-","8.3"
"2021/11/04","09:06","7.223","-","8.17"
"2021/11/04","09:12","7.112","-","8.09"
"2021/11/04","09:18","6.994","-","7.99"
"2021/11/04","09:24","6.87","-","7.92"
"2021/11/04","09:30","6.739","-","7.8"
"2021/11/04","09:36","6.602","-","7.72"
"2021/11/04","09:42","6.46","-","7.53"
"2021/11/04","09:48","6.313","-","7.37"
"2021/11/04","09:54","6.162","-","7.25"
"2021/11/04","10:00","6.006","-","7.11"
"2021/11/04","10:06","5.847","-","6.95"
"2021/11/04","10:12","5.685","-","6.85"
"2021/11/04","10:18","5.52","-","6.71"
"2021/11/04","10:24","5.353","-","6.52"
"2021/11/04","10:30","5.183","-","6.41"
"2021/11/04","10:36","5.012","-","6.31"
"2021/11/04","10:42","4.84","-","6.17"
"2021/11/04","10:48","4.667","-","5.98"
"2021/11/04","10:54","4.493","-","5.79"
"2021/11/04","11:00","4.32","-","5.65"
"2021/11/04","11:06","4.147","-","5.48"
"2021/11/04","11:12","3.975","-","5.34"
"2021/11/04","11:18","3.804","-","5.15"
"2021/11/04","11:24","3.635","-","5"
"2021/11/04","11:30","3.469","-","4.86"
"2021/11/04","11:36","3.304","-","4.73"
"2021/11/04","11:42","3.144","-","4.59"
"2021/11/04","11:48","2.987","-","4.45"
"2021/11/04","11:54","2.834","-","4.34"
"2021/11/04","12:00","2.686","-","4.19"
"2021/11/04","12:06","2.544","-","4.08"
"2021/11/04","12:12","2.408","-","3.94"
"2021/11/04","12:18","2.279","-","3.77"
"2021/11/04","12:24","2.157","-","3.68"
"2021/11/04","12:30","2.043","-","3.5"
"2021/11/04","12:36","1.937","-","3.38"
"2021/11/04","12:42","1.841","-","3.34"
"2021/11/04","12:48","1.754","-","3.29"
"2021/11/04","12:54","1.678","-","3.21"
"2021/11/04","13:00","1.612","-","3.14"
"2021/11/04","13:06","1.557","-","3.06"
"2021/11/04","13:12","1.514","-","3.06"
"2021/11/04","13:18","1.482","-","3.01"
"2021/11/04","13:24","1.463","-","3.02"
"2021/11/04","13:30","1.456","-","3.02"
"2021/11/04","13:36","1.461","-","3.06"
"2021/11/04","13:42","1.478","-","3.14"
"2021/11/04","13:48","1.507","-","3.15"
"2021/11/04","13:54","1.549","-","3.25"
"2021/11/04","14:00","1.603","-","3.2"
"2021/11/04","14:06","1.668","-","3.19"
"2021/11/04","14:12","1.745","-","3.17"
"2021/11/04","14:18","1.832","-","3.3"
"2021/11/04","14:24","1.93","-","3.32"
"2021/11/04","14:30","2.038","-","3.36"
"2021/11/04","14:36","2.156","-","3.45"
"2021/11/04","14:42","2.282","-","3.53"
"2021/11/04","14:48","2.417","-","3.66"
"2021/11/04","14:54","2.56","-","3.76"
"2021/11/04","15:00","2.709","-","3.83"
"2021/11/04","15:06","2.865","-","3.96"
"2021/11/04","15:12","3.027","-","4.09"
"2021/11/04","15:18","3.193","-","4.24"
"2021/11/04","15:24","3.365","-","4.32"
"2021/11/04","15:30","3.54","-","4.49"
"2021/11/04","15:36","3.719","-","4.65"
"2021/11/04","15:42","3.9","-","4.79"
"2021/11/04","15:48","4.084","-","4.88"
"2021/11/04","15:54","4.27","-","5.02"
"2021/11/04","16:00","4.456","-","5.18"
"2021/11/04","16:06","4.644","-","5.33"
"2021/11/04","16:12","4.833","-","5.47"
"2021/11/04","16:18","5.021","-","5.65"
"2021/11/04","16:24","5.209","-","5.83"
"2021/11/04","16:30","5.397","-","6"
"2021/11/04","16:36","5.584","-","6.17"
"2021/11/04","16:42","5.77","-","6.37"
"2021/11/04","16:48","5.954","-","6.56"
"2021/11/04","16:54","6.136","-","6.75"
"2021/11/04","17:00","6.317","-","6.92"
"2021/11/04","17:06","6.495","-","7.08"
"2021/11/04","17:12","6.67","-","7.28"
"2021/11/04","17:18","6.843","-","7.51"
"2021/11/04","17:24","7.013","-","7.68"
"2021/11/04","17:30","7.18","-","7.85"
"2021/11/04","17:36","7.343","-","8.05"
"2021/11/04","17:42","7.502","-","8.26"
"2021/11/04","17:48","7.658","-","8.39"
"2021/11/04","17:54","7.809","-","8.56"
"2021/11/04","18:00","7.955","-","8.71"
"2021/11/04","18:06","8.096","-","8.84"
"2021/11/04","18:12","8.233","-","9"
"2021/11/04","18:18","8.363","-","9.12"
"2021/11/04","18:24","8.488","-","9.26"
"2021/11/04","18:30","8.607","-","9.43"
"2021/11/04","18:36","8.719","-","9.55"
"2021/11/04","18:42","8.824","-","9.72"
"2021/11/04","18:48","8.923","-","9.83"
"2021/11/04","18:54","9.014","-","9.97"
"2021/11/04","19:00","9.097","-","10.11"
"2021/11/04","19:06","9.171","-","10.22"
"2021/11/04","19:12","9.238","-","10.31"
"2021/11/04","19:18","9.295","-","10.4"
"2021/11/04","19:24","9.344","-","10.45"
"2021/11/04","19:30","9.383","-","10.53"
"2021/11/04","19:36","9.412","-","10.55"
"2021/11/04","19:42","9.432","-","10.61"
"2021/11/04","19:48","9.441","-","10.63"
"2021/11/04","19:54","9.44","-","10.69"
"2021/11/04","20:00","9.428","-","10.71"
"2021/11/04","20:06","9.405","-","10.68"
"2021/11/04","20:12","9.371","-","10.57"
"2021/11/04","20:18","9.327","-","10.53"
"2021/11/04","20:24","9.271","-","10.47"
"2021/11/04","20:30","9.204","-","10.38"
"2021/11/04","20:36","9.126","-","10.32"
"2021/11/04","20:42","9.037","-","10.24"
"2021/11/04","20:48","8.937","-","10.09"
"2021/11/04","20:54","8.826","-","9.94"
"2021/11/04","21:00","8.705","-","9.85"
"2021/11/04","21:06","8.573","-","9.7"
"2021/11/04","21:12","8.431","-","9.54"
"2021/11/04","21:18","8.279","-","9.41"
"2021/11/04","21:24","8.118","-","9.24"
"2021/11/04","21:30","7.948","-","9.12"
"2021/11/04","21:36","7.768","-","8.96"
"2021/11/04","21:42","7.581","-","8.76"
"2021/11/04","21:48","7.386","-","8.6"
"2021/11/04","21:54","7.183","-","8.38"
"2021/11/04","22:00","6.974","-","8.16"
"2021/11/04","22:06","6.758","-","8"
"2021/11/04","22:12","6.536","-","7.81"
"2021/11/04","22:18","6.309","-","7.59"
"2021/11/04","22:24","6.077","-","7.38"
"2021/11/04","22:30","5.84","-","7.17"
"2021/11/04","22:36","5.6","-","6.92"
"2021/11/04","22:42","5.356","-","6.71"
"2021/11/04","22:48","5.109","-","6.5"
"2021/11/04","22:54","4.86","-","6.28"
"2021/11/04","23:00","4.608","-","6.06"
"2021/11/04","23:06","4.356","-","5.81"
"2021/11/04","23:12","4.102","-","5.61"
"2021/11/04","23:18","3.847","-","5.36"
"2021/11/04","23:24","3.593","-","5.13"
"2021/11/04","23:30","3.339","-","4.88"
"2021/11/04","23:36","3.086","-","4.62"
"2021/11/04","23:42","2.834","-","4.39"
"2021/11/04","23:48","2.585","-","4.17"
"2021/11/04","23:54","2.338","-","3.92"
"2021/11/05","00:00","2.095","-","3.69"
"2021/11/05","00:06","1.855","-","3.46"
"2021/11/05","00:12","1.62","-","3.2"
"2021/11/05","00:18","1.39","-","2.95"
"2021/11/05","00:24","1.166","-","2.7"
"2021/11/05","00:30","0.948","-","2.44"
"2021/11/05","00:36","0.738","-","2.22"
"2021/11/05","00:42","0.536","-","2"
"2021/11/05","00:48","0.342","-","1.79"
"2021/11/05","00:54","0.158","-","1.56"
"2021/11/05","01:00","-0.017","-","1.36"
"2021/11/05","01:06","-0.18","-","1.18"
"2021/11/05","01:12","-0.332","-","1"
"2021/11/05","01:18","-0.473","-","0.79"
"2021/11/05","01:24","-0.601","-","0.63"
"2021/11/05","01:30","-0.715","-","0.44"
"2021/11/05","01:36","-0.817","-","0.31"
"2021/11/05","01:42","-0.905","-","0.17"
"2021/11/05","01:48","-0.978","-","0.07"
"2021/11/05","01:54","-1.037","-","-0.06"
"2021/11/05","02:00","-1.082","-","-0.17"
"2021/11/05","02:06","-1.112","-","-0.23"
"2021/11/05","02:12","-1.128","-","-0.26"
"2021/11/05","02:18","-1.129","-","-0.29"
"2021/11/05","02:24","-1.116","-","-0.32"
"2021/11/05","02:30","-1.088","-","-0.3"
"2021/11/05","02:36","-1.047","-","-0.24"
"2021/11/05","02:42","-0.992","-","-0.16"
"2021/11/05","02:48","-0.925","-","-0.11"
"2021/11/05","02:54","-0.845","-","0.01"
"2021/11/05","03:00","-0.753","-","0.12"
"2021/11/05","03:06","-0.649","-","0.17"
"2021/11/05","03:12","-0.535","-","0.31"
"2021/11/05","03:18","-0.411","-","0.41"
"2021/11/05","03:24","-0.277","-","0.54"
"2021/11/05","03:30","-0.135","-","0.71"
"2021/11/05","03:36","0.016","-","0.86"
"2021/11/05","03:42","0.175","-","1.08"
"2021/11/05","03:48","0.34","-","1.31"
"2021/11/05","03:54","0.511","-","1.43"
"2021/11/05","04:00","0.688","-","1.59"
"2021/11/05","04:06","0.87","-","1.78"
"2021/11/05","04:12","1.057","-","1.9"
"2021/11/05","04:18","1.247","-","2.11"
"2021/11/05","04:24","1.441","-","2.32"
"2021/11/05","04:30","1.638","-","2.47"
"2021/11/05","04:36","1.837","-","2.7"
"2021/11/05","04:42","2.039","-","2.91"
"2021/11/05","04:48","2.242","-","3.07"
"2021/11/05","04:54","2.446","-","3.3"
"2021/11/05","05:00","2.651","-","3.48"
"2021/11/05","05:06","2.857","-","3.72"
"2021/11/05","05:12","3.063","-","3.85"
"2021/11/05","05:18","3.269","-","4.02"
"2021/11/05","05:24","3.474","-","4.24"
"2021/11/05","05:30","3.679","-","4.39"
"2021/11/05","05:36","3.883","-","4.59"
"2021/11/05","05:42","4.085","-","4.83"
"2021/11/05","05:48","4.286","-","4.98"
"2021/11/05","05:54","4.485","-","5.22"
"2021/11/05","06:00","4.682","-","5.34"
"2021/11/05","06:06","4.877","-","5.53"
"2021/11/05","06:12","5.069","-","5.7"
"2021/11/05","06:18","5.257","-","5.89"
"2021/11/05","06:24","5.443","-","6.03"
"2021/11/05","06:30","5.624","-","6.27"
"2021/11/05","06:36","5.802","-","6.46"
"2021/11/05","06:42","5.975","-","6.61"
"2021/11/05","06:48","6.144","-","6.8"
"2021/11/05","06:54","6.307","-","6.93"
"2021/11/05","07:00","6.465","-","7.08"
"2021/11/05","07:06","6.618","-","7.27"
"2021/11/05","07:12","6.764","-","7.43"
"2021/11/05","07:18","6.904","-","7.61"
"2021/11/05","07:24","7.037","-","7.76"
"2021/11/05","07:30","7.163","-","7.96"
"2021/11/05","07:36","7.281","-","8.08"
"2021/11/05","07:42","7.392","-","8.12"
"2021/11/05","07:48","7.495","-","8.26"
"2021/11/05","07:54","7.589","-","8.44"
"2021/11/05","08:00","7.674","-","8.5"
"2021/11/05","08:06","7.75","-","8.6"
"2021/11/05","08:12","7.817","-","8.73"
"2021/11/05","08:18","7.875","-","8.79"
"2021/11/05","08:24","7.922","-","8.82"
"2021/11/05","08:30","7.96","-","8.92"
"2021/11/05","08:36","7.988","-","8.99"
"2021/11/05","08:42","8.006","-","8.97"
"2021/11/05","08:48","8.013","-","8.99"
"2021/11/05","08:54","8.01","-","9.04"
"2021/11/05","09:00","7.997","-","9.07"
"2021/11/05","09:06","7.973","-","9.04"
"2021/11/05","09:12","7.939","-","8.99"
"2021/11/05","09:18","7.896","-","8.98"
"2021/11/05","09:24","7.842","-","8.91"
"2021/11/05","09:30","7.779","-","8.9"
"2021/11/05","09:36","7.707","-","8.78"
"2021/11/05","09:42","7.626","-","8.67"
"2021/11/05","09:48","7.535","-","8.57"
"2021/11/05","09:54","7.437","-","8.48"
"2021/11/05","10:00","7.33","-","8.37"
"2021/11/05","10:06","7.216","-","8.29"
"2021/11/05","10:12","7.095","-","8.18"
"2021/11/05","10:18","6.968","-","8.08"
"2021/11/05","10:24","6.834","-","7.89"
"2021/11/05","10:30","6.694","-","7.8"
"2021/11/05","10:36","6.549","-","7.67"
"2021/11/05","10:42","6.399","-","7.47"
"2021/11/05","10:48","6.246","-","7.35"
"2021/11/05","10:54","6.088","-","7.19"
"2021/11/05","11:00","5.927","-","7.07"
"2021/11/05","11:06","5.763","-","6.92"
"2021/11/05","11:12","5.596","-","6.79"
"2021/11/05","11:18","5.428","-","6.62"
"2021/11/05","11:24","5.258","-","6.45"
"2021/11/05","11:30","5.087","-","6.3"
"2021/11/05","11:36","4.916","-","6.23"
"2021/11/05","11:42","4.744","-","6.12"
"2021/11/05","11:48","4.572","-","5.9"
"2021/11/05","11:54","4.401","-","5.68"
"2021/11/05","12:00","4.231","-","5.46"
"2021/11/05","12:06","4.063","-","5.25"
"2021/11/05","12:12","3.897","-","5.09"
"2021/11/05","12:18","3.734","-","4.98"
"2021/11/05","12:24","3.573","-","4.89"
"2021/11/05","12:30","3.417","-","4.77"
"2021/11/05","12:36","3.264","-","4.66"
"2021/11/05","12:42","3.116","-","4.54"
"2021/11/05","12:48","2.974","-","4.39"
"2021/11/05","12:54","2.838","-","4.24"
"2021/11/05","13:00","2.708","-","4.09"
"2021/11/05","13:06","2.585","-","3.96"
"2021/11/05","13:12","2.47","-","3.86"
"2021/11/05","13:18","2.363","-","3.75"
"2021/11/05","13:24","2.266","-","3.6"
"2021/11/05","13:30","2.178","-","3.5"
"2021/11/05","13:36","2.099","-","3.41"
"2021/11/05","13:42","2.032","-","3.29"
"2021/11/05","13:48","1.975","-","3.22"
"2021/11/05","13:54","1.93","-","3.12"
"2021/11/05","14:00","1.897","-","3.04"
"2021/11/05","14:06","1.875","-","3.01"
"2021/11/05","14:12","1.866","-","2.97"
"2021/11/05","14:18","1.87","-","2.97"
"2021/11/05","14:24","1.885","-","2.98"
"2021/11/05","14:30","1.914","-","2.99"
"2021/11/05","14:36","1.954","-","3"
"2021/11/05","14:42","2.007","-","3.05"
"2021/11/05","14:48","2.072","-","3.08"
"2021/11/05","14:54","2.149","-","3.15"
"2021/11/05","15:00","2.237","-","3.2"
"2021/11/05","15:06","2.336","-","3.3"
"2021/11/05","15:12","2.445","-","3.41"
"2021/11/05","15:18","2.564","-","3.47"
"2021/11/05","15:24","2.693","-","3.59"
"2021/11/05","15:30","2.83","-","3.73"
"2021/11/05","15:36","2.975","-","3.87"
"2021/11/05","15:42","3.128","-","4.02"
"2021/11/05","15:48","3.287","-","4.12"
"2021/11/05","15:54","3.453","-","4.29"
"2021/11/05","16:00","3.623","-","4.44"
"2021/11/05","16:06","3.799","-","4.61"
"2021/11/05","16:12","3.978","-","4.76"
"2021/11/05","16:18","4.161","-","4.94"
"2021/11/05","16:24","4.346","-","5.1"
"2021/11/05","16:30","4.534","-","5.3"
"2021/11/05","16:36","4.723","-","5.45"
"2021/11/05","16:42","4.913","-","5.64"
"2021/11/05","16:48","5.104","-","5.82"
"2021/11/05","16:54","5.295","-","5.96"
"2021/11/05","17:00","5.486","-","6.17"
"2021/11/05","17:06","5.676","-","6.37"
"2021/11/05","17:12","5.865","-","6.53"
"2021/11/05","17:18","6.053","-","6.7"
"2021/11/05","17:24","6.239","-","6.87"
"2021/11/05","17:30","6.423","-","7.09"
"2021/11/05","17:36","6.605","-","7.26"
"2021/11/05","17:42","6.784","-","7.43"
"2021/11/05","17:48","6.96","-","7.61"
"2021/11/05","17:54","7.134","-","7.75"
"2021/11/05","18:00","7.304","-","7.97"
"2021/11/05","18:06","7.471","-","8.15"
"2021/11/05","18:12","7.634","-","8.28"
"2021/11/05","18:18","7.793","-","8.46"
"2021/11/05","18:24","7.948","-","8.65"
"2021/11/05","18:30","8.099","-","8.77"
"2021/11/05","18:36","8.245","-","8.94"
"2021/11/05","18:42","8.386","-","9.11"
"2021/11/05","18:48","8.522","-","9.27"
